mjd,datetime_str,RA,DEC,V,RA_rate,DEC_rate
58508.5,2019-Jan-25 12:00,327.88921,0.37972,19.565,111.9333,33.66081
58509.5,2019-Jan-26 12:00,328.6321,0.60398,19.563,111.8972,33.81281
58510.5,2019-Jan-27 12:00,329.37475,0.82927,19.562,111.8603,33.95846
58511.5,2019-Jan-28 12:00,330.11718,1.05554,19.561,111.8224,34.09766
58512.5,2019-Jan-29 12:00,330.85938,1.28275,19.559,111.7832,34.23028
58513.5,2019-Jan-30 12:00,331.60137,1.51086,19.558,111.7427,34.35621
58514.5,2019-Jan-31 12:00,332.34314,1.73981,19.556,111.7006,34.47531
58515.5,2019-Feb-01 12:00,333.0847,1.96958,19.555,111.6569,34.58749
58516.5,2019-Feb-02 12:00,333.82604,2.20009,19.553,111.6115,34.69261
58517.5,2019-Feb-03 12:00,334.56717,2.43132,19.552,111.5643,34.79058
58518.5,2019-Feb-04 12:00,335.30809,2.66321,19.55,111.5154,34.88129
58519.5,2019-Feb-05 12:00,336.04879,2.89572,19.549,111.4648,34.96464
58520.5,2019-Feb-06 12:00,336.78929,3.12879,19.547,111.4123,35.04054
58521.5,2019-Feb-07 12:00,337.52957,3.36237,19.546,111.3582,35.1089
58522.5,2019-Feb-08 12:00,338.26965,3.59642,19.544,111.3025,35.16965
58523.5,2019-Feb-09 12:00,339.00951,3.83088,19.543,111.2453,35.22274
58524.5,2019-Feb-10 12:00,339.74918,4.0657,19.541,111.1865,35.26811
58525.5,2019-Feb-11 12:00,340.48864,4.30083,19.539,111.1265,35.30571
58526.5,2019-Feb-12 12:00,341.22791,4.53621,19.538,111.0653,35.33552
58527.5,2019-Feb-13 12:00,341.96699,4.77181,19.536,111.0032,35.35752
58528.5,2019-Feb-14 12:00,342.70588,5.00755,19.534,110.9403,35.37174
58529.5,2019-Feb-15 12:00,343.4446,5.2434,19.532,110.877,35.37821
58530.5,2019-Feb-16 12:00,344.18316,5.4793,19.531,110.8136,35.37704
58531.5,2019-Feb-17 12:00,344.92156,5.7152,19.529,110.7505,35.36835
58532.5,2019-Feb-18 12:00,345.65983,5.95104,19.527,110.6882,35.35233
58533.5,2019-Feb-19 12:00,346.39798,6.18679,19.525,110.627,35.32919
58534.5,2019-Feb-20 12:00,347.13603,6.42239,19.523,110.5671,35.29914
58535.5,2019-Feb-21 12:00,347.87402,6.6578,19.521,110.5086,35.26233
58536.5,2019-Feb-22 12:00,348.61194,6.89298,19.519,110.4515,35.21886
58537.5,2019-Feb-23 12:00,349.34984,7.12787,19.517,110.3954,35.16877
58538.5,2019-Feb-24 12:00,350.08772,7.36244,19.515,110.3401,35.11204
58539.5,2019-Feb-25 12:00,350.8256,7.59664,19.513,110.2853,35.04861
58540.5,2019-Feb-26 12:00,351.5635,7.83042,19.511,110.2309,34.97841
58541.5,2019-Feb-27 12:00,352.30143,8.06375,19.509,110.1765,34.90137
58542.5,2019-Feb-28 12:00,353.0394,8.29657,19.507,110.1221,34.81742
58543.5,2019-Mar-01 12:00,353.77742,8.52883,19.504,110.0675,34.72651
58544.5,2019-Mar-02 12:00,354.5155,8.7605,19.502,110.0127,34.62857
58545.5,2019-Mar-03 12:00,355.25365,8.99152,19.5,109.9574,34.52356
58546.5,2019-Mar-04 12:00,355.99188,9.22184,19.497,109.9018,34.41142
58547.5,2019-Mar-05 12:00,356.7302,9.45142,19.495,109.8457,34.29212
58548.5,2019-Mar-06 12:00,357.46861,9.68022,19.492,109.789,34.1656
58549.5,2019-Mar-07 12:00,358.20712,9.90817,19.49,109.7318,34.03184
58550.5,2019-Mar-08 12:00,358.94573,10.13524,19.487,109.674,33.8908
58551.5,2019-Mar-09 12:00,359.68445,10.36137,19.485,109.6156,33.74246
58552.5,2019-Mar-10 12:00,0.4233,10.58651,19.482,109.5567,33.58681
58553.5,2019-Mar-11 12:00,1.16226,10.81062,19.479,109.4974,33.42385
58554.5,2019-Mar-12 12:00,1.90136,11.03365,19.477,109.4376,33.25361
58555.5,2019-Mar-13 12:00,2.64059,11.25555,19.474,109.3776,33.07612
58556.5,2019-Mar-14 12:00,3.37996,11.47626,19.471,109.3176,32.89144
58557.5,2019-Mar-15 12:00,4.11949,11.69575,19.468,109.2576,32.69966
58558.5,2019-Mar-16 12:00,4.85917,11.91397,19.465,109.1981,32.50091
58559.5,2019-Mar-17 12:00,5.59903,12.13086,19.462,109.1393,32.29535
58560.5,2019-Mar-18 12:00,6.33908,12.34638,19.459,109.0816,32.08319
58561.5,2019-Mar-19 12:00,7.07933,12.5605,19.455,109.0253,31.86464
58562.5,2019-Mar-20 12:00,7.8198,12.77316,19.452,108.9707,31.63995
58563.5,2019-Mar-21 12:00,8.56051,12.98434,19.449,108.9179,31.40932
58564.5,2019-Mar-22 12:00,9.30147,13.19397,19.445,108.8669,31.17292
58565.5,2019-Mar-23 12:00,10.04271,13.40204,19.442,108.8176,30.93083
58566.5,2019-Mar-24 12:00,10.78424,13.60851,19.439,108.7698,30.68311
58567.5,2019-Mar-25 12:00,11.52607,13.81332,19.435,108.7232,30.42974
58568.5,2019-Mar-26 12:00,12.26822,14.01645,19.431,108.6775,30.17069
58569.5,2019-Mar-27 12:00,13.0107,14.21787,19.428,108.6325,29.90593
58570.5,2019-Mar-28 12:00,13.75352,14.41751,19.424,108.5879,29.63542
58571.5,2019-Mar-29 12:00,14.49668,14.61537,19.42,108.5437,29.35913
58572.5,2019-Mar-30 12:00,15.24019,14.81138,19.416,108.4996,29.07704
58573.5,2019-Mar-31 12:00,15.98405,15.00551,19.412,108.4556,28.78912
58574.5,2019-Apr-01 12:00,16.72826,15.19773,19.408,108.4115,28.49536
58575.5,2019-Apr-02 12:00,17.47283,15.38799,19.404,108.3671,28.19576
58576.5,2019-Apr-03 12:00,18.21776,15.57626,19.399,108.3224,27.89029
58577.5,2019-Apr-04 12:00,18.96304,15.76249,19.395,108.2773,27.57895
